('M0P1', 'M0P2') [[30.496181]]
('N129', 'N182') [[18.385344]]
('N65', 'N73') [[18.38426]]
('N5', 'N73') [[18.383295]]
('N168', 'N172') [[18.383173]]
('N22', 'N231') [[18.382639]]
('N102', 'N123') [[18.382471]]
('N54', 'N66') [[18.382393]]
('N42', 'N176') [[18.38216]]
('N34', 'N88') [[18.38195]]
('N3', 'N232') [[18.38139]]
('N182', 'N235') [[18.380974]]
('N53', 'N201') [[18.38096]]
('N92', 'N239') [[18.38074]]
('N56', 'N177') [[18.380636]]
('N52', 'N201') [[18.380386]]
('N216', 'N230') [[18.38021]]
('N162', 'N176') [[18.38007]]
('N19', 'N142') [[18.379782]]
('N39', 'N67') [[18.37965]]
('N39', 'N143') [[18.379496]]
('N150', 'N173') [[18.379272]]
('N61', 'N182') [[18.378174]]
('N17', 'N201') [[18.376892]]
('N152', 'N156') [[18.376884]]
('N68', 'N221') [[18.376833]]
('N73', 'N214') [[18.37617]]
('N123', 'N181') [[18.37577]]
('N88', 'N171') [[18.37539]]
('N55', 'N113') [[18.375006]]
('N88', 'N130') [[18.37463]]
('N118', 'N198') [[18.374298]]
('N188', 'N230') [[18.3739]]
('N73', 'N151') [[18.373753]]
('N69', 'N198') [[18.37351]]
('N60', 'N151') [[18.373312]]
('N23', 'N177') [[18.373283]]
('N53', 'N191') [[18.372871]]
('N32', 'N114') [[18.372383]]
('N88', 'N185') [[18.372334]]
('N73', 'N114') [[18.371416]]
('N88', 'N235') [[18.37134]]
('N88', 'N181') [[18.370726]]
('N26', 'N196') [[18.370653]]
('N21', 'N182') [[18.370226]]
('N3', 'N182') [[18.369095]]
('N143', 'N201') [[18.368973]]
('N102', 'N106') [[18.368422]]
('N32', 'N76') [[18.367573]]
('N115', 'N239') [[18.367386]]
('N68', 'N251') [[18.36734]]
('N52', 'N239') [[18.36731]]
('N181', 'N240') [[18.36722]]
('N105', 'N150') [[18.366959]]
('N152', 'N181') [[18.366337]]
('N136', 'N241') [[18.366169]]
('N197', 'N222') [[18.366154]]
('N129', 'N190') [[18.365433]]
